position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards
FWD,Southampton,4.0,0,0,0,0,0.8,518,229,1,0,2.5,0.0,90,12,0,0,0,0,0,480605,25.0,3,41604,67977,52,True,0
DEF,Brighton,1.0,0,0,6,0,0.0,653,227,0,0,0.0,0.0,0,9,0,0,0,0,0,3607,0.0,1,126463,123642,40,False,0
DEF,Watford,1.0,0,0,6,0,0.0,618,230,0,0,0.0,0.0,0,15,0,0,0,0,0,460,0.0,1,18,31,44,True,0
DEF,Watford,1.0,0,0,6,0,0.0,618,164,0,0,0.0,0.0,0,5,0,0,0,0,0,460,0.0,1,18,31,44,False,0
FWD,Watford,1.0,0,0,6,0,0.0,388,230,0,0,0.0,0.0,0,15,0,0,0,0,0,55762,0.0,1,0,964,45,True,0
FWD,Watford,1.0,0,0,6,0,0.0,388,164,0,0,0.0,0.0,0,5,0,0,0,0,0,55762,0.0,1,0,964,45,False,0
DEF,Chelsea,1.0,0,0,6,0,0.0,539,223,0,0,0.0,0.0,0,17,0,0,0,0,0,948,0.0,1,0,2,45,True,0
FWD,Watford,1.0,0,0,6,0,0.0,393,230,0,0,0.0,0.0,0,15,0,0,0,0,0,8897,0.0,1,0,70,50,True,0
FWD,Watford,1.0,0,0,6,0,0.0,393,164,0,0,0.0,0.0,0,5,0,0,0,0,0,8897,0.0,1,0,70,50,False,0
GK,Spurs,0.5,0,0,6,0,0.0,659,223,0,0,0.0,0.0,0,6,0,0,0,0,0,1168,0.0,1,107,75,40,False,0
MID,West Ham,3.0,0,0,22,0,2.2,421,228,1,0,4.3,22.6,90,13,0,0,0,0,0,424249,18.0,2,8499,16072,51,False,1
MID,Man Utd,1.0,0,0,6,0,0.0,459,228,0,0,0.0,0.0,0,19,0,0,0,0,0,5233,0.0,1,74,75,47,True,0
MID,Leeds,1.0,0,0,6,0,0.0,192,226,0,0,0.0,0.0,0,14,0,0,0,0,0,4309,0.0,1,0,21,54,True,0
FWD,Crystal Palace,0.0,0,0,6,0,0.0,542,224,0,0,0.0,0.0,0,11,0,0,0,0,0,95125,0.0,1,1120,4049,45,True,0
MID,Liverpool,1.0,0,0,6,0,0.0,506,224,0,0,0.0,0.0,0,7,0,0,0,0,0,6116,0.0,1,82,55,53,False,0
MID,Aston Villa,1.0,0,0,6,0,0.0,37,225,0,0,0.0,0.0,0,8,0,0,0,0,0,1868,0.0,1,21,153,54,False,0
DEF,Aston Villa,1.0,0,0,6,0,0.0,52,225,0,0,0.0,0.0,0,8,0,0,0,0,0,41481,0.0,1,266,1069,47,False,0
MID,Leicester,1.5,0,0,6,0,0.0,214,227,0,0,0.0,0.0,0,4,0,0,0,0,0,9923,0.0,1,198,203,44,True,0
MID,Brighton,1.0,0,0,6,0,0.0,654,227,0,0,0.0,0.0,0,9,0,0,0,0,0,246,0.0,1,38,42,45,False,0
DEF,Norwich,1.0,0,0,6,0,0.0,324,230,0,0,0.0,0.0,0,18,0,0,0,0,0,3541,0.0,1,155,124,44,False,0
FWD,Chelsea,1.0,0,0,6,0,0.0,136,223,0,0,0.0,0.0,0,17,0,0,0,0,0,11411,0.0,1,0,29,65,True,0
DEF,Brighton,1.0,0,0,6,0,0.0,56,227,0,0,0.0,0.0,0,9,0,0,0,0,0,944685,0.0,1,3508,83000,41,False,0
MID,Watford,3.6,0,0,3,0,0.8,495,230,1,0,0.0,0.0,1,15,1,0,0,0,0,10604,2.0,0,113503,111129,55,True,0
MID,Watford,3.6,0,0,22,1,30.8,495,164,0,0,5.9,22.2,90,5,0,0,0,0,0,10604,6.0,4,113503,111129,55,False,0
MID,Everton,2.0,0,0,6,0,12.9,172,225,1,0,1.5,2.0,50,2,0,0,0,0,0,7361,0.0,1,90,182,49,True,1
DEF,Chelsea,1.0,0,0,6,0,0.0,142,223,0,0,0.0,0.0,0,17,0,0,0,0,0,1256996,0.0,1,612,381309,62,True,0
MID,Wolves,1.5,0,0,6,0,0.0,547,222,0,0,0.0,0.0,0,3,0,0,0,0,0,6372,0.0,1,15,77,45,False,0
MID,Leeds,1.0,0,0,6,0,0.0,552,226,0,0,0.0,0.0,0,14,0,0,0,0,0,5878,0.0,1,126504,124014,45,True,0
GK,Chelsea,5.8,0,1,33,1,0.0,129,223,0,0,2.3,22.8,90,17,0,0,0,0,3,55855,0.0,9,5882,4119,47,True,0
DEF,Aston Villa,2.0,0,0,9,0,0.0,36,225,0,0,0.0,0.0,1,8,0,0,0,0,0,17453,0.0,2,470,493,44,False,0
MID,Southampton,0.0,0,0,6,0,0.0,680,229,0,0,0.0,0.0,0,12,0,0,0,0,0,33,0.0,1,19,16,45,True,0
DEF,Aston Villa,4.5,0,1,30,1,13.3,38,225,0,0,3.6,23.0,90,8,0,0,0,0,0,531272,0.0,7,17999,12743,50,False,1
MID,Arsenal,1.0,0,0,6,0,0.0,13,221,0,0,0.0,0.0,0,5,0,0,0,0,0,4526,0.0,1,0,179,52,True,0
MID,Man Utd,1.3,0,0,6,0,0.0,276,228,0,0,0.0,0.0,0,19,0,0,0,0,0,86676,0.0,1,488,897,67,True,0
MID,Norwich,1.0,0,0,6,0,0.0,145,230,0,0,0.0,0.0,0,18,0,0,0,0,0,308672,0.0,1,1386,24894,43,False,0
MID,Aston Villa,1.0,0,0,6,0,0.0,497,225,0,0,0.0,0.0,0,8,0,0,0,0,0,1613,0.0,1,12,44,50,False,0
MID,Man City,2.0,0,0,6,0,0.0,453,229,0,0,0.0,0.0,0,16,0,0,0,0,0,30522,0.0,1,242,1074,48,False,0
MID,Norwich,1.3,0,0,6,0,0.0,648,230,0,0,0.0,0.0,0,18,0,0,0,0,0,422,0.0,1,130,65,44,False,0
DEF,Aston Villa,1.0,0,0,6,0,0.0,31,225,0,0,0.0,0.0,0,8,0,0,0,0,0,42,0.0,1,0,0,45,False,0
MID,Brentford,1.0,0,0,6,0,0.0,79,222,0,0,0.0,0.0,0,20,0,0,0,0,0,2689,0.0,1,18,43,51,True,0
MID,Arsenal,1.0,0,0,6,0,0.0,15,221,0,0,0.0,0.0,0,5,0,0,0,0,0,20724,0.0,1,80,1910,50,True,0
GK,Arsenal,2.0,0,0,6,0,0.0,532,221,0,0,0.0,0.0,0,5,0,0,0,0,0,40264,0.0,1,163,930,40,True,0
DEF,Watford,9.0,0,0,21,0,13.2,382,230,2,0,2.7,13.6,88,15,0,0,0,0,0,17367,0.0,2,9963,1103,43,True,0
DEF,Watford,9.0,0,1,36,1,35.0,382,164,0,0,5.1,16.0,90,5,0,0,0,0,0,17367,0.0,8,9963,1103,43,False,0
MID,Burnley,1.0,0,0,6,0,0.0,578,221,0,0,0.0,0.0,0,1,0,0,0,0,0,39799,0.0,1,370,4412,59,False,0
MID,Burnley,1.0,0,0,6,1,14.1,578,164,0,0,5.9,5.2,90,18,0,0,0,0,0,39799,40.0,4,370,4412,59,True,0
FWD,Wolves,3.5,0,0,6,0,0.0,430,222,0,0,0.0,0.0,0,3,0,0,0,0,0,438891,0.0,1,48169,16565,74,False,0
